,Name,Rk_2017,GP_2017,G_2017,A_2017,P_2017,PIM_2017,+/-_2017,TOI_2017,PPG_2017,GWG_2017,PPP_2017,G/GP_2017,A/GP_2017,P/GP_2017,SHOTS_2017,SH_2017,HITS_2017,BS_2017,Rk_2018,GP_2018,G_2018,A_2018,P_2018,PIM_2018,+/-_2018,TOI_2018,PPG_2018,GWG_2018,PPP_2018,G/GP_2018,A/GP_2018,P/GP_2018,SHOTS_2018,SH_2018,HITS_2018,BS_2018,norm_P_2017,norm_PPP_2017,norm_SHOTS_2017,norm_GWG_2017,norm_SH_2017,norm_total_2017
148,Nick Foligno,231,72,15,18,33,50,1,1101,2,1,4,0.208,0.25,0.458,137,11.0,182,60,207,73,17,18,35,44,12,1062,2,2,4,0.233,0.247,0.479,141,12.1,175,51,0.013157894736842105,0.09523809523809523,0.23508771929824562,0.08333333333333333,0.3961352657004831,0.8229523083069994
149,Nick Leddy,165,80,10,32,42,20,-42,1345,4,1,14,0.125,0.4,0.525,153,6.5,95,104,319,82,4,22,26,18,0,1293,0,0,10,0.049,0.268,0.317,116,3.5,77,89,0.13157894736842105,0.3333333333333333,0.2912280701754386,0.08333333333333333,0.17874396135265702,1.0182176455631833
150,Nick Schmaltz,103,78,21,31,52,18,1,1093,4,2,13,0.269,0.397,0.667,118,17.8,13,39,331,40,7,18,25,8,-12,1069,5,2,8,0.175,0.45,0.625,62,11.3,5,12,0.2631578947368421,0.30952380952380953,0.16842105263157894,0.16666666666666666,0.7246376811594203,1.6324071047183173
151,Nicklas Bäckström,32,81,21,50,71,46,5,1179,7,4,26,0.259,0.617,0.877,165,12.7,37,51,40,80,22,52,74,30,2,1197,7,5,25,0.275,0.65,0.925,169,13.0,54,30,0.5131578947368421,0.6190476190476191,0.3333333333333333,0.3333333333333333,0.47826086956521735,2.277133050016345
152,Nico Hischier,105,82,20,32,52,26,10,978,1,2,6,0.244,0.39,0.634,180,11.1,56,39,128,69,17,30,47,24,0,1086,3,3,11,0.246,0.435,0.681,160,10.6,53,44,0.2631578947368421,0.14285714285714285,0.38596491228070173,0.16666666666666666,0.4009661835748793,1.3596128001162326
153,Nikita Kucherov,3,80,39,61,100,42,15,1188,8,7,36,0.488,0.763,1.25,279,14.0,31,15,1,82,41,87,128,62,24,1197,15,8,48,0.5,1.061,1.561,246,16.7,44,31,0.8947368421052632,0.8571428571428571,0.7333333333333333,0.5833333333333334,0.5410628019323671,3.609609167847154
154,Nikolaj Ehlers,72,82,29,31,60,26,14,965,7,7,13,0.354,0.378,0.732,231,12.6,39,27,185,62,21,16,37,15,2,945,2,4,7,0.339,0.258,0.597,158,13.3,27,16,0.3684210526315789,0.30952380952380953,0.5649122807017544,0.5833333333333334,0.4734299516908213,2.2996204278812975
155,Nino Niederreiter,241,63,18,14,32,36,14,900,7,4,8,0.286,0.222,0.508,133,13.5,58,20,97,82,23,30,53,30,-4,973,6,3,15,0.28,0.366,0.646,184,12.5,94,20,0.0,0.19047619047619047,0.22105263157894736,0.3333333333333333,0.5169082125603864,1.2617703679488574
156,Noah Hanifin,248,79,10,22,32,21,-20,1131,1,3,7,0.127,0.278,0.405,165,6.1,81,69,238,80,5,28,33,12,18,1246,1,2,5,0.063,0.35,0.413,116,4.3,87,83,0.0,0.16666666666666666,0.3333333333333333,0.25,0.15942028985507245,0.9094202898550725
157,Oliver Bjorkstrand,180,82,11,29,40,9,4,856,3,2,9,0.134,0.354,0.488,163,6.8,64,43,199,77,23,13,36,8,8,740,3,1,3,0.299,0.169,0.468,161,14.3,43,34,0.10526315789473684,0.21428571428571427,0.3263157894736842,0.16666666666666666,0.1932367149758454,1.0057680432966474
158,Oliver Ekman-Larsson,163,82,14,28,42,44,-28,1420,6,3,15,0.171,0.341,0.512,202,6.9,160,79,144,81,14,30,44,52,-16,1418,5,2,19,0.173,0.37,0.543,176,8.0,162,52,0.13157894736842105,0.35714285714285715,0.4631578947368421,0.25,0.19806763285024157,1.3999473320983618
159,Ondrej Palat,216,56,11,24,35,6,16,1021,4,0,9,0.196,0.429,0.625,109,10.1,80,48,227,64,8,26,34,20,4,893,2,1,8,0.125,0.406,0.531,100,8.0,104,34,0.039473684210526314,0.21428571428571427,0.1368421052631579,0.0,0.3526570048309179,0.7432585085903164
160,P.K. Subban,79,82,16,43,59,82,18,1446,5,2,25,0.195,0.524,0.72,207,7.7,111,90,252,63,9,22,31,60,5,1359,2,1,10,0.143,0.349,0.492,168,5.4,56,75,0.35526315789473684,0.5952380952380952,0.4807017543859649,0.16666666666666666,0.23671497584541065,1.8345846500308742
161,Patric Hörnqvist,119,70,29,20,49,58,2,1038,15,1,22,0.414,0.286,0.7,247,11.7,137,64,188,69,18,19,37,26,-3,928,6,2,12,0.261,0.275,0.536,197,9.1,150,34,0.2236842105263158,0.5238095238095238,0.6210526315789474,0.08333333333333333,0.429951690821256,1.8818313900693764
162,Patrice Bergeron,59,64,30,33,63,26,21,1166,10,6,21,0.469,0.516,0.984,224,13.4,48,42,29,65,32,47,79,30,23,1108,9,3,27,0.492,0.723,1.215,205,15.6,43,60,0.40789473684210525,0.5,0.5403508771929825,0.5,0.5120772946859904,2.460322908721078
163,Patrick Kane,28,82,27,49,76,32,-20,1211,5,4,22,0.329,0.598,0.927,285,9.5,18,14,3,81,44,66,110,22,2,1349,9,7,30,0.543,0.815,1.358,341,12.9,21,18,0.5789473684210527,0.5238095238095238,0.7543859649122807,0.3333333333333333,0.32367149758454106,2.514147688060732
164,Patrick Marleau,131,82,27,20,47,16,1,1019,5,5,9,0.329,0.244,0.573,203,13.3,85,26,189,82,16,21,37,28,-6,980,4,3,10,0.195,0.256,0.451,161,9.9,74,41,0.19736842105263158,0.21428571428571427,0.4666666666666667,0.4166666666666667,0.5072463768115942,1.8022338454832734
165,Patrick Maroon,158,74,17,26,43,73,1,992,1,4,7,0.23,0.351,0.581,141,12.1,150,14,282,74,10,18,28,64,-3,850,2,3,11,0.135,0.243,0.378,118,8.5,135,7,0.14473684210526316,0.16666666666666666,0.24912280701754386,0.3333333333333333,0.44927536231884063,1.3431350114416476
166,Patrik Laine,34,82,44,26,70,24,8,988,20,8,31,0.537,0.317,0.854,241,18.3,74,43,109,82,30,20,50,42,-24,1033,15,3,23,0.366,0.244,0.61,245,12.2,70,44,0.5,0.7380952380952381,0.6,0.6666666666666666,0.748792270531401,3.2535541752933055
167,Paul Byron,206,82,20,15,35,23,-4,967,2,1,4,0.244,0.183,0.427,115,17.4,137,55,246,56,15,16,31,17,16,874,0,3,1,0.268,0.286,0.554,94,16.0,114,36,0.039473684210526314,0.09523809523809523,0.15789473684210525,0.08333333333333333,0.7053140096618357,1.0812538592858958
168,Paul Stastny,100,82,16,37,53,18,1,1098,3,3,9,0.195,0.451,0.646,159,10.1,43,38,158,50,13,29,42,30,14,1086,1,2,4,0.26,0.58,0.84,103,12.6,35,15,0.27631578947368424,0.21428571428571427,0.312280701754386,0.25,0.3526570048309179,1.4055392103447024
169,Pavel Buchnevich,161,74,14,29,43,20,-3,900,5,4,17,0.189,0.392,0.581,136,10.3,51,35,180,64,21,17,38,13,-10,910,7,1,12,0.328,0.266,0.594,119,17.7,60,20,0.14473684210526316,0.40476190476190477,0.23157894736842105,0.3333333333333333,0.3623188405797102,1.4767298681486325
170,Phil Kessel,8,82,34,58,92,36,-4,1121,12,6,42,0.415,0.707,1.122,261,13.0,10,17,25,82,27,55,82,28,-19,1078,12,10,36,0.329,0.671,1.0,215,12.6,12,18,0.7894736842105263,1.0,0.6701754385964912,0.5,0.49275362318840576,3.4524027459954234
171,Pierre-Luc Dubois,129,82,20,28,48,49,8,997,6,4,15,0.244,0.341,0.585,165,12.1,127,46,71,82,27,34,61,64,16,1062,2,5,9,0.329,0.415,0.744,174,15.5,115,52,0.21052631578947367,0.35714285714285715,0.3333333333333333,0.3333333333333333,0.44927536231884063,1.683611201917838
172,Radek Faksa,228,79,17,16,33,36,21,915,0,3,0,0.215,0.203,0.418,118,14.4,101,56,261,81,15,15,30,54,-3,985,1,1,3,0.185,0.185,0.37,114,13.2,103,65,0.013157894736842105,0.0,0.16842105263157894,0.25,0.5603864734299517,0.9919654207983728
173,Rasmus Ristolainen,173,73,6,35,41,48,-25,1590,1,1,23,0.082,0.479,0.562,182,3.3,206,111,152,78,5,38,43,38,-41,1478,1,2,17,0.064,0.487,0.551,182,2.8,235,121,0.11842105263157894,0.5476190476190477,0.3929824561403509,0.08333333333333333,0.024154589371980676,1.1665104790962915
174,Reilly Smith,74,67,22,38,60,24,31,1075,7,4,14,0.328,0.567,0.896,162,13.6,40,24,98,74,19,34,53,14,13,1096,4,1,14,0.257,0.459,0.716,178,10.7,39,33,0.3684210526315789,0.3333333333333333,0.32280701754385965,0.3333333333333333,0.5217391304347827,1.879633867276888
175,Richard Panik,210,72,14,21,35,38,7,911,4,0,6,0.194,0.292,0.486,136,10.3,137,37,233,75,14,19,33,44,-3,996,0,2,2,0.187,0.253,0.44,140,10.0,137,52,0.039473684210526314,0.14285714285714285,0.23157894736842105,0.0,0.3623188405797102,0.7762286150158004
176,Rickard Rakell,37,77,34,35,69,14,6,1165,8,3,18,0.442,0.455,0.896,230,14.8,115,30,150,69,18,25,43,27,-13,1108,6,2,13,0.261,0.362,0.623,194,9.3,82,38,0.4868421052631579,0.42857142857142855,0.5614035087719298,0.25,0.5797101449275363,2.3065271875340523
177,Roman Josi,101,75,14,39,53,24,24,1468,7,3,20,0.187,0.52,0.707,253,5.5,80,120,86,82,15,41,56,42,9,1509,2,4,12,0.183,0.5,0.683,274,5.5,53,144,0.27631578947368424,0.47619047619047616,0.6421052631578947,0.25,0.13043478260869568,1.7750463114307506
178,Ryan Dzingel,167,79,23,18,41,35,-17,989,4,2,8,0.291,0.228,0.519,136,16.9,60,19,81,78,26,30,56,29,-9,1008,5,5,11,0.333,0.385,0.718,159,16.4,54,38,0.11842105263157894,0.19047619047619047,0.23157894736842105,0.16666666666666666,0.681159420289855,1.388302277432712
179,Ryan Ellis,249,44,9,23,32,6,26,1401,2,2,5,0.205,0.523,0.727,110,8.2,27,84,166,82,7,34,41,20,21,1440,1,2,5,0.085,0.415,0.5,149,4.7,71,154,0.0,0.11904761904761904,0.14035087719298245,0.16666666666666666,0.2608695652173913,0.6869347281246594
180,Ryan Getzlaf,71,56,11,50,61,42,20,1286,0,0,13,0.196,0.893,1.089,117,9.4,96,57,119,67,14,34,48,58,-19,1167,1,2,11,0.209,0.507,0.716,133,10.5,150,74,0.3815789473684211,0.30952380952380953,0.1649122807017544,0.0,0.31884057971014496,1.17485561730413
181,Ryan Johansen,98,79,15,39,54,78,13,1113,1,3,15,0.19,0.494,0.684,129,11.6,87,35,65,80,14,50,64,42,7,1173,0,6,16,0.175,0.625,0.8,136,10.3,95,23,0.2894736842105263,0.35714285714285715,0.20701754385964913,0.25,0.42512077294685996,1.5287548581598926
182,Ryan Nugent-Hopkins,124,62,24,24,48,20,10,1084,4,2,9,0.387,0.387,0.774,151,15.9,44,39,57,82,28,41,69,26,-13,1206,8,3,26,0.341,0.5,0.841,208,13.5,69,40,0.21052631578947367,0.21428571428571427,0.28421052631578947,0.16666666666666666,0.6328502415458939,1.508539464603538
183,Ryan O'Reilly,69,81,24,37,61,2,-23,1249,15,3,23,0.296,0.457,0.753,230,10.4,42,48,32,82,28,49,77,12,22,1245,6,5,22,0.341,0.598,0.939,234,12.0,31,36,0.3815789473684211,0.5476190476190477,0.5614035087719298,0.25,0.3671497584541063,2.1077512622135046
184,Ryan Pulock,247,68,10,22,32,14,-4,1104,5,0,11,0.147,0.324,0.471,184,5.4,113,86,198,82,9,28,37,22,21,1341,3,3,9,0.11,0.341,0.451,180,5.0,143,148,0.0,0.2619047619047619,0.4,0.0,0.12560386473429955,0.7875086266390615
185,Ryan Strome,224,82,13,21,34,33,-4,913,2,3,6,0.159,0.256,0.415,147,8.8,43,17,205,81,19,16,35,64,-3,934,4,2,7,0.235,0.198,0.432,110,17.3,76,36,0.02631578947368421,0.14285714285714285,0.27017543859649124,0.25,0.2898550724637682,0.9792034433910864
186,Ryan Suter,113,78,6,45,51,34,-1,1606,1,2,23,0.077,0.577,0.654,149,4.0,78,138,131,82,7,40,47,41,-8,1601,3,2,15,0.085,0.488,0.573,136,5.2,78,109,0.25,0.5476190476190477,0.2771929824561403,0.16666666666666666,0.05797101449275363,1.2994497112346084
187,Sam Reinhart,114,82,25,25,50,26,-24,1026,12,5,21,0.305,0.305,0.61,188,13.3,48,42,63,82,22,43,65,16,-10,1137,2,1,15,0.268,0.524,0.793,180,12.2,38,47,0.23684210526315788,0.5,0.41403508771929826,0.4166666666666667,0.5072463768115942,2.074790236460717
188,Sean Couturier,27,82,31,45,76,31,34,1295,7,6,14,0.378,0.549,0.927,227,13.7,74,44,35,80,33,43,76,34,2,1327,8,5,17,0.413,0.538,0.95,223,14.8,40,60,0.5789473684210527,0.3333333333333333,0.5508771929824562,0.5,0.5265700483091786,2.489727943046021
189,Sean Monahan,53,74,31,33,64,24,3,1121,9,11,19,0.419,0.446,0.865,202,15.4,35,17,23,78,34,48,82,12,7,1143,12,5,23,0.436,0.615,1.051,211,16.1,36,24,0.42105263157894735,0.4523809523809524,0.4631578947368421,0.9166666666666666,0.6086956521739131,2.8619537975373213
190,Sebastian Aho,48,78,29,36,65,24,4,1075,8,4,16,0.372,0.462,0.833,200,14.5,65,17,21,82,30,53,83,26,25,1209,3,7,24,0.366,0.646,1.012,243,12.4,65,34,0.4342105263157895,0.38095238095238093,0.45614035087719296,0.3333333333333333,0.5652173913043478,2.1698539827830445
191,Seth Jones,83,78,16,41,57,30,10,1475,7,4,24,0.205,0.526,0.731,249,6.4,92,124,136,75,9,37,46,28,1,1549,0,4,10,0.12,0.493,0.613,184,4.9,106,133,0.32894736842105265,0.5714285714285714,0.6280701754385964,0.3333333333333333,0.1739130434782609,2.0356924920998147
192,Shayne Gostisbehere,51,78,13,52,65,25,10,1287,7,2,33,0.167,0.667,0.833,221,5.9,53,116,196,78,9,28,37,22,-20,1179,4,2,14,0.115,0.359,0.474,180,5.0,46,102,0.4342105263157895,0.7857142857142857,0.5298245614035088,0.16666666666666666,0.14975845410628022,2.066174494206531
193,Sidney Crosby,10,82,29,60,89,46,0,1241,9,6,38,0.354,0.732,1.085,247,11.7,75,36,6,79,35,65,100,36,18,1259,12,3,29,0.443,0.823,1.266,220,15.9,85,43,0.75,0.9047619047619048,0.6210526315789474,0.5,0.429951690821256,3.2057662271621084
194,Steven Stamkos,12,78,27,59,86,72,18,1125,15,1,33,0.346,0.756,1.103,212,12.7,61,35,9,82,45,53,98,37,4,1098,19,6,40,0.549,0.646,1.195,234,19.2,72,40,0.7105263157894737,0.7857142857142857,0.4982456140350877,0.08333333333333333,0.47826086956521735,2.5560804184373977
195,T.J. Oshie,134,74,18,29,47,31,2,1104,9,3,18,0.243,0.392,0.635,127,14.2,124,54,90,69,25,29,54,36,5,1116,6,4,14,0.362,0.42,0.783,143,17.5,133,55,0.19736842105263158,0.42857142857142855,0.2,0.25,0.5507246376811594,1.6266644873052196
196,Tanner Pearson,177,82,15,25,40,27,11,957,2,4,5,0.183,0.305,0.488,180,8.3,116,36,293,80,18,9,27,25,-15,843,3,1,5,0.225,0.113,0.338,147,12.2,128,41,0.10526315789473684,0.11904761904761904,0.38596491228070173,0.3333333333333333,0.2657004830917875,1.2093095056481784
197,Taylor Hall,6,76,39,54,93,34,14,1147,13,7,37,0.513,0.711,1.224,278,14.0,72,44,195,33,11,26,37,16,-6,1181,1,3,12,0.333,0.788,1.121,113,9.7,22,29,0.8026315789473685,0.8809523809523809,0.7298245614035088,0.5833333333333334,0.5410628019323671,3.5378046565689587
198,Teuvo Teräväinen,57,82,23,41,64,14,8,1013,5,3,20,0.28,0.5,0.78,185,12.4,26,22,36,82,21,55,76,12,30,1075,8,1,24,0.256,0.671,0.927,167,12.6,35,23,0.42105263157894735,0.47619047619047616,0.40350877192982454,0.25,0.46376811594202905,2.014519995641277
199,Thomas Vanek,85,80,24,32,56,36,-3,845,4,1,15,0.3,0.4,0.7,168,14.3,36,18,201,64,16,20,36,26,-12,846,4,1,11,0.25,0.313,0.563,108,14.8,38,13,0.3157894736842105,0.35714285714285715,0.34385964912280703,0.08333333333333333,0.5555555555555556,1.6556808688387634
200,Timo Meier,202,81,21,15,36,51,2,891,3,4,4,0.259,0.185,0.444,210,10.0,105,48,60,78,30,36,66,55,9,1018,6,2,10,0.385,0.462,0.846,250,12.0,99,40,0.05263157894736842,0.09523809523809523,0.49122807017543857,0.3333333333333333,0.3478260869565218,1.3202571646507573
201,Tom Wilson,211,78,14,21,35,187,10,959,0,1,1,0.179,0.269,0.449,123,11.4,250,51,167,63,22,18,40,128,11,1088,3,2,5,0.349,0.286,0.635,130,16.9,200,52,0.039473684210526314,0.023809523809523808,0.18596491228070175,0.08333333333333333,0.4154589371980677,0.7480403908321529
202,Tomas Hertl,139,79,22,24,46,41,-2,1086,6,5,12,0.278,0.304,0.582,175,12.6,84,71,38,77,35,39,74,18,5,1141,11,5,15,0.455,0.506,0.961,176,19.9,53,64,0.18421052631578946,0.2857142857142857,0.3684210526315789,0.4166666666666667,0.4734299516908213,1.7284424830191423
203,Tomas Tatar,220,82,20,14,34,34,-19,975,9,4,13,0.244,0.171,0.415,174,11.5,67,29,77,80,25,33,58,34,21,984,4,4,8,0.313,0.413,0.725,195,12.8,77,30,0.02631578947368421,0.30952380952380953,0.3649122807017544,0.3333333333333333,0.42028985507246375,1.4543750681050454
204,Torey Krug,80,76,14,45,59,36,0,1224,5,4,24,0.184,0.592,0.776,197,7.1,79,73,101,64,6,47,53,33,-2,1278,2,2,30,0.094,0.734,0.828,151,4.0,53,60,0.35526315789473684,0.5714285714285714,0.4456140350877193,0.3333333333333333,0.20772946859903382,1.9133685663433946
205,Travis Konecny,132,81,24,23,47,46,17,894,1,6,3,0.296,0.284,0.58,177,13.6,97,53,113,82,24,25,49,40,-4,915,4,3,8,0.293,0.305,0.598,182,13.2,65,45,0.19736842105263158,0.07142857142857142,0.37543859649122807,0.5,0.5217391304347827,1.6659747194072139
206,Tyler Bozak,162,81,11,32,43,28,6,938,3,2,13,0.136,0.395,0.531,154,7.1,43,28,183,72,13,25,38,20,-3,980,2,3,8,0.181,0.347,0.528,141,9.2,52,33,0.14473684210526316,0.30952380952380953,0.29473684210526313,0.16666666666666666,0.20772946859903382,1.1233936290000361
207,Tyler Johnson,116,81,21,29,50,24,3,1019,4,3,13,0.259,0.358,0.617,186,11.3,48,47,121,80,29,18,47,28,15,956,1,4,8,0.363,0.225,0.588,163,17.8,50,32,0.23684210526315788,0.30952380952380953,0.4070175438596491,0.25,0.4106280193236715,1.614011477970288
208,Tyler Myers,204,82,6,30,36,48,9,1285,3,3,17,0.073,0.366,0.439,150,4.0,68,119,254,80,9,22,31,63,11,1220,0,3,7,0.113,0.275,0.388,156,5.8,97,99,0.05263157894736842,0.40476190476190477,0.2807017543859649,0.25,0.05797101449275363,1.0460662525879918
209,Tyler Seguin,24,82,40,38,78,43,12,1254,14,6,25,0.488,0.463,0.951,335,11.9,74,44,28,82,33,47,80,18,17,1244,9,8,27,0.402,0.573,0.976,334,9.9,74,47,0.6052631578947368,0.5952380952380952,0.9298245614035088,0.5,0.4396135265700484,3.069939341106389
210,Tyler Toffoli,133,82,24,23,47,16,9,966,6,6,12,0.293,0.28,0.573,250,9.6,75,17,220,82,13,21,34,23,-16,1032,3,3,5,0.159,0.256,0.415,226,5.8,39,23,0.19736842105263158,0.2857142857142857,0.631578947368421,0.5,0.3285024154589372,1.9431640695942756
211,Tyson Barrie,84,68,14,43,57,22,-15,1361,7,3,30,0.206,0.632,0.838,178,7.9,40,79,76,78,14,45,59,36,-3,1306,2,2,25,0.179,0.577,0.756,218,6.4,48,93,0.32894736842105265,0.7142857142857143,0.37894736842105264,0.25,0.24637681159420294,1.9185572627220226
212,Valtteri Filppula,236,81,11,22,33,20,-7,988,3,4,4,0.136,0.272,0.407,70,15.7,25,55,244,72,17,14,31,16,19,856,0,4,0,0.236,0.194,0.431,78,21.8,12,34,0.013157894736842105,0.09523809523809523,0.0,0.3333333333333333,0.6231884057971014,1.064917729105372
213,Victor Hedman,60,77,17,46,63,54,32,1550,2,1,26,0.221,0.597,0.818,216,7.9,139,110,93,70,12,42,54,44,24,1366,2,4,25,0.171,0.6,0.771,182,6.6,59,97,0.40789473684210525,0.6190476190476191,0.512280701754386,0.08333333333333333,0.24637681159420294,1.8689332025716465
214,Viktor Arvidsson,67,78,29,32,61,36,20,1064,3,6,8,0.372,0.41,0.782,247,11.7,30,52,115,58,34,14,48,26,12,1148,3,7,4,0.586,0.241,0.828,195,17.4,18,23,0.3815789473684211,0.19047619047619047,0.6210526315789474,0.5,0.429951690821256,2.123059460244815
215,Vincent Trocheck,29,82,31,44,75,54,-9,1281,13,5,27,0.378,0.537,0.915,287,10.8,145,55,224,55,10,24,34,54,-9,1179,3,1,13,0.182,0.436,0.618,158,6.3,112,42,0.5657894736842105,0.6428571428571429,0.7614035087719299,0.4166666666666667,0.3864734299516908,2.7731902219316407
216,Vladimir Tarasenko,44,80,33,33,66,17,15,1143,6,5,16,0.413,0.413,0.825,306,10.8,89,37,58,76,33,35,68,22,8,1103,12,5,22,0.434,0.461,0.895,275,12.0,88,40,0.4473684210526316,0.38095238095238093,0.8280701754385965,0.4166666666666667,0.3864734299516908,2.4595310740619665
217,Vladislav Namestnikov,127,81,22,26,48,45,6,1023,9,2,16,0.272,0.321,0.593,155,14.2,79,44,249,78,11,20,31,44,-7,947,1,3,3,0.141,0.256,0.397,119,9.2,140,62,0.21052631578947367,0.38095238095238093,0.2982456140350877,0.16666666666666666,0.5507246376811594,1.6071156151247685
218,Wayne Simmonds,138,75,24,22,46,57,-16,1085,11,5,17,0.32,0.293,0.613,176,13.6,129,54,258,79,17,13,30,99,-16,939,5,2,8,0.215,0.165,0.38,157,10.8,137,28,0.18421052631578946,0.40476190476190477,0.3719298245614035,0.4166666666666667,0.5217391304347827,1.8993080527405473
219,Will Butcher,156,81,5,39,44,8,1,963,3,1,23,0.062,0.481,0.543,88,5.7,21,62,266,78,4,26,30,18,-17,1156,1,1,14,0.051,0.333,0.385,108,3.7,38,74,0.15789473684210525,0.5476190476190477,0.06315789473684211,0.08333333333333333,0.14009661835748793,0.9921016308888164
220,William Karlsson,23,82,43,35,78,12,49,1123,8,6,16,0.524,0.427,0.951,184,23.4,48,45,82,82,24,32,56,16,1,1130,7,5,14,0.293,0.39,0.683,169,14.2,51,55,0.6052631578947368,0.38095238095238093,0.4,0.5,0.9951690821256038,2.881384620972722
221,William Nylander,70,82,20,41,61,10,20,1001,5,8,12,0.244,0.5,0.744,184,10.9,21,18,299,54,7,20,27,16,-4,930,1,0,6,0.13,0.37,0.5,130,5.4,16,14,0.3815789473684211,0.2857142857142857,0.4,0.6666666666666666,0.39130434782608703,2.12526424757546
222,Yanni Gourde,56,82,25,39,64,50,34,969,7,5,13,0.305,0.476,0.78,136,18.4,57,42,118,80,22,26,48,66,9,950,5,5,9,0.275,0.325,0.6,130,16.9,83,30,0.42105263157894735,0.30952380952380953,0.23157894736842105,0.4166666666666667,0.753623188405797,2.132445243543642
223,Zach Hyman,178,82,15,25,40,37,22,1041,0,2,0,0.183,0.305,0.488,148,10.1,117,55,160,71,21,20,41,65,16,1036,0,4,0,0.296,0.282,0.577,144,14.6,102,39,0.10526315789473684,0.0,0.2736842105263158,0.16666666666666666,0.3526570048309179,0.8982710399186372
224,Zachary Werenski,192,77,16,21,37,16,8,1354,3,3,10,0.208,0.273,0.481,207,7.7,58,92,145,82,11,33,44,18,-12,1373,2,1,15,0.134,0.402,0.537,168,6.6,67,89,0.06578947368421052,0.23809523809523808,0.4807017543859649,0.25,0.23671497584541065,1.271301442010824
