Name,Rk_2017,GP_2017,G_2017,A_2017,P_2017,PIM_2017,+/-_2017,TOI_2017,PPG_2017,GWG_2017,PPP_2017,G/GP_2017,A/GP_2017,P/GP_2017,SHOTS_2017,SH%_2017,HITS_2017,BS_2017,Rk_2018,GP_2018,G_2018,A_2018,P_2018,PIM_2018,+/-_2018,TOI_2018,PPG_2018,GWG_2018,PPP_2018,G/GP_2018,A/GP_2018,P/GP_2018,SHOTS_2018,SH%_2018,HITS_2018,BS_2018
Gabriel Landeskog,63.0,78.0,25.0,37.0,62.0,37.0,16.0,1208.0,8.0,1.0,17.0,0.321,0.474,0.795,183.0,13.7,149.0,51.0,37.0,73.0,34.0,41.0,75.0,51.0,17.0,1268.0,10.0,9.0,27.0,0.466,0.562,1.0270000000000001,243.0,14.0,120.0,64.0
Gustav Nyquist,174.0,82.0,21.0,19.0,40.0,20.0,-2.0,1070.0,3.0,2.0,8.0,0.256,0.23199999999999998,0.488,213.0,9.9,65.0,36.0,73.0,81.0,22.0,38.0,60.0,12.0,1.0,1051.0,2.0,3.0,12.0,0.272,0.469,0.741,204.0,10.8,36.0,23.0
Ivan Provorov,169.0,82.0,17.0,24.0,41.0,20.0,17.0,1448.0,2.0,2.0,5.0,0.207,0.293,0.5,203.0,8.4,148.0,169.0,315.0,82.0,7.0,19.0,26.0,32.0,-16.0,1506.0,0.0,1.0,2.0,0.085,0.23199999999999998,0.317,145.0,4.8,123.0,149.0
J.T. Miller,81.0,82.0,23.0,35.0,58.0,40.0,-4.0,1021.0,11.0,5.0,18.0,0.28,0.42700000000000005,0.7070000000000001,143.0,16.1,124.0,26.0,130.0,75.0,13.0,34.0,47.0,30.0,8.0,879.0,4.0,4.0,20.0,0.17300000000000001,0.45299999999999996,0.627,108.0,12.0,115.0,23.0
Jack Eichel,55.0,67.0,25.0,39.0,64.0,32.0,-25.0,1209.0,3.0,4.0,20.0,0.373,0.5820000000000001,0.955,246.0,10.2,52.0,35.0,24.0,77.0,28.0,54.0,82.0,26.0,-11.0,1226.0,8.0,2.0,26.0,0.364,0.701,1.065,303.0,9.2,70.0,51.0
Jaden Schwartz,78.0,62.0,24.0,35.0,59.0,26.0,15.0,1163.0,6.0,3.0,11.0,0.387,0.565,0.9520000000000001,157.0,15.3,52.0,30.0,203.0,69.0,11.0,25.0,36.0,16.0,-6.0,1087.0,2.0,1.0,5.0,0.159,0.36200000000000004,0.522,183.0,6.0,61.0,27.0
Jake DeBrusk,159.0,70.0,16.0,27.0,43.0,19.0,13.0,862.0,2.0,5.0,9.0,0.22899999999999998,0.386,0.614,143.0,11.2,70.0,26.0,153.0,68.0,27.0,15.0,42.0,18.0,2.0,969.0,8.0,4.0,11.0,0.397,0.221,0.618,156.0,17.3,45.0,24.0
Jake Gardiner,107.0,82.0,5.0,47.0,52.0,32.0,9.0,1351.0,1.0,0.0,15.0,0.061,0.573,0.634,133.0,3.8,51.0,103.0,267.0,62.0,3.0,27.0,30.0,26.0,19.0,1272.0,0.0,0.0,5.0,0.048,0.435,0.484,78.0,3.9,61.0,64.0
Jake Guentzel,128.0,82.0,22.0,26.0,48.0,42.0,-9.0,989.0,7.0,1.0,12.0,0.268,0.317,0.585,171.0,12.9,142.0,46.0,34.0,82.0,40.0,36.0,76.0,26.0,13.0,1161.0,6.0,4.0,11.0,0.488,0.439,0.927,227.0,17.6,105.0,47.0
Jake Muzzin,166.0,74.0,8.0,34.0,42.0,40.0,10.0,1299.0,4.0,1.0,14.0,0.10800000000000001,0.45899999999999996,0.568,154.0,5.2,170.0,123.0,197.0,80.0,9.0,28.0,37.0,47.0,21.0,1280.0,1.0,1.0,5.0,0.113,0.35,0.46299999999999997,141.0,6.4,172.0,134.0
Jakob Silfverberg,175.0,77.0,17.0,23.0,40.0,18.0,6.0,1077.0,2.0,2.0,8.0,0.221,0.299,0.519,187.0,9.1,52.0,61.0,148.0,73.0,24.0,19.0,43.0,28.0,-9.0,1025.0,3.0,4.0,11.0,0.32899999999999996,0.26,0.589,163.0,14.7,38.0,43.0
Jakub Vorácek,15.0,82.0,20.0,65.0,85.0,50.0,10.0,1167.0,5.0,3.0,35.0,0.244,0.7929999999999999,1.037,228.0,8.8,23.0,32.0,62.0,78.0,20.0,46.0,66.0,25.0,-16.0,1120.0,4.0,2.0,18.0,0.256,0.59,0.846,210.0,9.5,17.0,29.0
James van Riemsdyk,94.0,81.0,36.0,18.0,54.0,30.0,1.0,893.0,11.0,5.0,20.0,0.444,0.222,0.667,248.0,14.5,40.0,23.0,116.0,66.0,27.0,21.0,48.0,18.0,-10.0,996.0,8.0,4.0,13.0,0.409,0.318,0.727,167.0,16.2,34.0,16.0
Jamie Benn,22.0,82.0,36.0,43.0,79.0,54.0,20.0,1189.0,9.0,7.0,22.0,0.439,0.524,0.963,241.0,14.9,140.0,62.0,94.0,78.0,27.0,26.0,53.0,56.0,14.0,1093.0,8.0,2.0,11.0,0.34600000000000003,0.33299999999999996,0.679,189.0,14.3,142.0,71.0
Jared Spurgeon,198.0,61.0,9.0,28.0,37.0,8.0,-6.0,1472.0,3.0,2.0,13.0,0.14800000000000002,0.45899999999999996,0.607,110.0,8.2,64.0,127.0,151.0,82.0,14.0,29.0,43.0,20.0,-1.0,1448.0,4.0,0.0,11.0,0.171,0.354,0.524,152.0,9.2,91.0,145.0
Jason Pominville,222.0,82.0,16.0,18.0,34.0,8.0,-17.0,893.0,5.0,1.0,7.0,0.195,0.22,0.415,168.0,9.5,39.0,35.0,245.0,73.0,16.0,15.0,31.0,4.0,-4.0,747.0,1.0,3.0,2.0,0.21899999999999997,0.205,0.425,134.0,11.9,18.0,20.0
Jason Zucker,52.0,82.0,33.0,31.0,64.0,44.0,8.0,1017.0,7.0,7.0,16.0,0.402,0.37799999999999995,0.78,222.0,14.9,80.0,47.0,154.0,81.0,21.0,21.0,42.0,28.0,-9.0,1024.0,7.0,5.0,14.0,0.259,0.259,0.519,214.0,9.8,87.0,38.0
Jeff Petry,164.0,82.0,12.0,30.0,42.0,28.0,-30.0,1409.0,6.0,2.0,23.0,0.146,0.366,0.512,178.0,6.7,167.0,138.0,135.0,82.0,13.0,33.0,46.0,28.0,-5.0,1387.0,3.0,4.0,11.0,0.159,0.402,0.561,172.0,7.6,190.0,123.0
Jeff Skinner,121.0,82.0,24.0,25.0,49.0,34.0,-27.0,1002.0,4.0,2.0,9.0,0.293,0.305,0.598,277.0,8.7,35.0,24.0,66.0,82.0,40.0,23.0,63.0,36.0,0.0,1111.0,8.0,7.0,16.0,0.488,0.28,0.768,268.0,14.9,31.0,24.0
Jesper Bratt,212.0,74.0,13.0,22.0,35.0,18.0,-16.0,914.0,4.0,2.0,12.0,0.17600000000000002,0.297,0.473,100.0,13.0,44.0,22.0,237.0,51.0,8.0,25.0,33.0,6.0,-8.0,910.0,1.0,1.0,8.0,0.157,0.49,0.647,91.0,8.8,36.0,22.0
Joe Pavelski,46.0,82.0,22.0,44.0,66.0,41.0,0.0,1155.0,7.0,1.0,23.0,0.268,0.537,0.805,224.0,9.8,93.0,70.0,64.0,75.0,38.0,26.0,64.0,22.0,-4.0,1142.0,12.0,6.0,21.0,0.507,0.34700000000000003,0.853,188.0,20.2,69.0,61.0
Joe Thornton,203.0,47.0,13.0,23.0,36.0,38.0,-9.0,1101.0,7.0,1.0,18.0,0.27699999999999997,0.489,0.7659999999999999,75.0,17.3,32.0,18.0,108.0,73.0,16.0,35.0,51.0,20.0,8.0,932.0,3.0,4.0,15.0,0.21899999999999997,0.479,0.6990000000000001,90.0,17.8,17.0,14.0
John Carlson,40.0,82.0,15.0,53.0,68.0,32.0,0.0,1487.0,4.0,4.0,32.0,0.183,0.6459999999999999,0.8290000000000001,237.0,6.3,47.0,146.0,55.0,80.0,13.0,57.0,70.0,34.0,21.0,1503.0,3.0,1.0,33.0,0.163,0.713,0.875,185.0,7.0,54.0,164.0
John Klingberg,43.0,82.0,8.0,59.0,67.0,26.0,10.0,1444.0,1.0,3.0,23.0,0.098,0.72,0.8170000000000001,204.0,3.9,44.0,109.0,139.0,64.0,10.0,35.0,45.0,12.0,6.0,1471.0,5.0,5.0,20.0,0.156,0.547,0.703,153.0,6.5,42.0,77.0
John Tavares,16.0,82.0,37.0,47.0,84.0,26.0,-12.0,1195.0,12.0,3.0,30.0,0.451,0.573,1.024,257.0,14.4,30.0,34.0,16.0,82.0,47.0,41.0,88.0,34.0,19.0,1145.0,10.0,8.0,19.0,0.573,0.5,1.073,286.0,16.4,59.0,53.0
Johnny Gaudreau,18.0,80.0,24.0,60.0,84.0,26.0,2.0,1165.0,3.0,4.0,24.0,0.3,0.75,1.05,227.0,10.6,16.0,18.0,8.0,82.0,36.0,63.0,99.0,24.0,18.0,1204.0,6.0,8.0,27.0,0.439,0.768,1.207,245.0,14.7,12.0,12.0
Jonathan Drouin,143.0,77.0,13.0,33.0,46.0,30.0,-28.0,1057.0,4.0,4.0,22.0,0.16899999999999998,0.429,0.597,164.0,7.9,55.0,27.0,99.0,81.0,18.0,35.0,53.0,26.0,-8.0,1015.0,3.0,3.0,16.0,0.222,0.43200000000000005,0.654,190.0,9.5,55.0,23.0
Jonathan Huberdeau,38.0,82.0,27.0,42.0,69.0,32.0,-2.0,1152.0,7.0,4.0,19.0,0.32899999999999996,0.512,0.841,204.0,13.2,41.0,42.0,13.0,82.0,30.0,62.0,92.0,40.0,-14.0,1131.0,11.0,5.0,34.0,0.366,0.7559999999999999,1.122,226.0,13.3,57.0,45.0
Jonathan Marchessault,30.0,77.0,27.0,48.0,75.0,40.0,36.0,1051.0,6.0,6.0,16.0,0.35100000000000003,0.623,0.9740000000000001,268.0,10.1,99.0,26.0,75.0,82.0,25.0,34.0,59.0,52.0,2.0,1088.0,5.0,6.0,16.0,0.305,0.415,0.72,278.0,9.0,98.0,22.0
Jonathan Toews,104.0,74.0,20.0,32.0,52.0,47.0,-1.0,1181.0,2.0,2.0,12.0,0.27,0.43200000000000005,0.703,211.0,9.5,32.0,24.0,27.0,82.0,35.0,46.0,81.0,40.0,2.0,1260.0,9.0,5.0,23.0,0.42700000000000005,0.561,0.988,235.0,14.9,42.0,44.0
Joonas Donskoi,242.0,66.0,14.0,18.0,32.0,26.0,10.0,898.0,1.0,2.0,5.0,0.212,0.273,0.485,129.0,10.9,28.0,28.0,191.0,80.0,14.0,23.0,37.0,10.0,10.0,805.0,1.0,4.0,3.0,0.175,0.28800000000000003,0.46299999999999997,115.0,12.2,36.0,36.0
Jordan Eberle,77.0,81.0,25.0,34.0,59.0,21.0,5.0,964.0,3.0,7.0,10.0,0.309,0.42,0.728,183.0,13.7,46.0,30.0,187.0,78.0,19.0,18.0,37.0,17.0,-6.0,991.0,7.0,5.0,12.0,0.244,0.231,0.474,160.0,11.9,36.0,35.0
Jordan Staal,141.0,79.0,19.0,27.0,46.0,26.0,-4.0,1154.0,4.0,2.0,12.0,0.24100000000000002,0.342,0.5820000000000001,160.0,11.9,181.0,32.0,281.0,50.0,11.0,17.0,28.0,26.0,6.0,1097.0,0.0,1.0,2.0,0.22,0.34,0.56,121.0,9.1,122.0,18.0
Joshua Bailey,33.0,76.0,18.0,53.0,71.0,17.0,-20.0,1073.0,5.0,3.0,31.0,0.237,0.6970000000000001,0.934,151.0,11.9,12.0,33.0,85.0,82.0,16.0,40.0,56.0,21.0,8.0,1009.0,2.0,4.0,14.0,0.195,0.488,0.6829999999999999,126.0,12.7,19.0,32.0
Justin Williams,111.0,82.0,16.0,35.0,51.0,56.0,-9.0,995.0,2.0,2.0,12.0,0.195,0.42700000000000005,0.622,198.0,8.1,79.0,42.0,96.0,82.0,23.0,30.0,53.0,44.0,-4.0,1046.0,9.0,5.0,14.0,0.28,0.366,0.6459999999999999,237.0,9.7,55.0,32.0
Keith Yandle,89.0,82.0,8.0,48.0,56.0,35.0,7.0,1469.0,1.0,1.0,18.0,0.098,0.585,0.6829999999999999,179.0,4.5,26.0,101.0,68.0,82.0,9.0,53.0,62.0,50.0,-17.0,1346.0,7.0,2.0,39.0,0.11,0.6459999999999999,0.7559999999999999,199.0,4.5,47.0,76.0
Kevin Fiala,126.0,80.0,23.0,25.0,48.0,26.0,20.0,908.0,4.0,4.0,13.0,0.28800000000000003,0.313,0.6,187.0,12.3,34.0,27.0,177.0,83.0,13.0,26.0,39.0,36.0,-23.0,938.0,2.0,2.0,11.0,0.157,0.313,0.47,174.0,7.5,42.0,20.0
Kevin Hayes,149.0,76.0,25.0,19.0,44.0,18.0,1.0,1041.0,6.0,4.0,8.0,0.32899999999999996,0.25,0.579,172.0,14.5,40.0,36.0,87.0,71.0,19.0,36.0,55.0,12.0,-2.0,1096.0,3.0,2.0,11.0,0.268,0.507,0.775,156.0,12.2,58.0,15.0
Kevin Labanc,179.0,77.0,11.0,29.0,40.0,32.0,-6.0,860.0,4.0,3.0,17.0,0.14300000000000002,0.377,0.519,156.0,7.1,31.0,23.0,83.0,82.0,17.0,39.0,56.0,36.0,-1.0,841.0,2.0,4.0,20.0,0.207,0.47600000000000003,0.6829999999999999,130.0,13.1,66.0,16.0
Kristopher Letang,112.0,79.0,9.0,42.0,51.0,56.0,-9.0,1519.0,4.0,1.0,20.0,0.114,0.532,0.6459999999999999,222.0,4.1,109.0,108.0,84.0,65.0,16.0,40.0,56.0,48.0,13.0,1557.0,2.0,3.0,19.0,0.24600000000000002,0.615,0.862,206.0,7.8,116.0,111.0
Kyle Connor,82.0,76.0,31.0,26.0,57.0,16.0,8.0,1014.0,7.0,7.0,11.0,0.408,0.342,0.75,192.0,16.2,18.0,26.0,59.0,82.0,34.0,32.0,66.0,18.0,-7.0,1155.0,11.0,5.0,19.0,0.415,0.39,0.805,227.0,15.0,9.0,21.0
Kyle Okposo,155.0,76.0,15.0,29.0,44.0,40.0,-34.0,1021.0,6.0,2.0,21.0,0.19699999999999998,0.382,0.579,161.0,9.3,70.0,34.0,268.0,78.0,14.0,15.0,29.0,41.0,-9.0,827.0,7.0,2.0,11.0,0.179,0.192,0.37200000000000005,147.0,9.5,87.0,27.0
Kyle Palmieri,150.0,62.0,24.0,20.0,44.0,30.0,-1.0,1038.0,11.0,5.0,23.0,0.387,0.32299999999999995,0.71,181.0,13.3,94.0,50.0,111.0,74.0,27.0,23.0,50.0,42.0,-9.0,1089.0,11.0,2.0,18.0,0.365,0.311,0.6759999999999999,224.0,12.1,98.0,35.0
Lars Eller,184.0,81.0,18.0,20.0,38.0,38.0,-6.0,917.0,3.0,2.0,6.0,0.222,0.247,0.469,161.0,11.2,71.0,69.0,202.0,81.0,13.0,23.0,36.0,37.0,-1.0,992.0,0.0,1.0,3.0,0.16,0.284,0.444,163.0,8.0,69.0,47.0
Leon Draisaitl,36.0,78.0,25.0,45.0,70.0,30.0,-7.0,1157.0,6.0,1.0,11.0,0.321,0.5770000000000001,0.897,194.0,12.9,40.0,24.0,4.0,82.0,50.0,55.0,105.0,52.0,2.0,1355.0,16.0,5.0,29.0,0.61,0.6709999999999999,1.28,231.0,21.7,57.0,26.0
Logan Couture,66.0,78.0,34.0,27.0,61.0,18.0,-2.0,1112.0,10.0,4.0,21.0,0.436,0.34600000000000003,0.782,204.0,16.7,33.0,72.0,54.0,81.0,27.0,43.0,70.0,22.0,-6.0,1115.0,6.0,3.0,18.0,0.33299999999999996,0.531,0.8640000000000001,204.0,13.2,65.0,52.0
Marc-Edouard Vlasic,244.0,81.0,11.0,21.0,32.0,34.0,9.0,1353.0,1.0,2.0,3.0,0.136,0.259,0.395,161.0,6.8,26.0,174.0,336.0,72.0,3.0,22.0,25.0,10.0,-6.0,1262.0,0.0,0.0,1.0,0.042,0.306,0.34700000000000003,100.0,3.0,23.0,114.0
Mark Giordano,188.0,82.0,13.0,25.0,38.0,63.0,0.0,1487.0,1.0,4.0,10.0,0.159,0.305,0.46299999999999997,214.0,6.1,93.0,161.0,41.0,78.0,17.0,57.0,74.0,69.0,39.0,1454.0,3.0,2.0,21.0,0.218,0.731,0.9490000000000001,221.0,7.7,58.0,144.0
Mark Scheifele,73.0,60.0,23.0,37.0,60.0,18.0,19.0,1239.0,8.0,3.0,16.0,0.38299999999999995,0.617,1.0,125.0,18.4,57.0,31.0,20.0,82.0,38.0,46.0,84.0,38.0,8.0,1311.0,12.0,6.0,23.0,0.46299999999999997,0.561,1.024,199.0,19.1,54.0,54.0
Mark Stone,64.0,58.0,20.0,42.0,62.0,10.0,9.0,1239.0,1.0,3.0,11.0,0.345,0.7240000000000001,1.069,132.0,15.2,53.0,39.0,43.0,77.0,33.0,40.0,73.0,27.0,17.0,1193.0,6.0,4.0,20.0,0.429,0.519,0.948,199.0,16.6,72.0,71.0
Mathew Barzal,14.0,82.0,22.0,63.0,85.0,30.0,1.0,1065.0,5.0,4.0,27.0,0.268,0.768,1.037,170.0,12.9,21.0,31.0,67.0,82.0,18.0,44.0,62.0,46.0,-5.0,1075.0,3.0,3.0,18.0,0.22,0.537,0.7559999999999999,179.0,10.1,25.0,56.0
Mathieu Perreault,182.0,70.0,17.0,22.0,39.0,38.0,4.0,868.0,6.0,2.0,14.0,0.243,0.314,0.557,139.0,12.2,120.0,25.0,262.0,82.0,15.0,15.0,30.0,44.0,-1.0,733.0,4.0,3.0,7.0,0.183,0.183,0.366,95.0,15.8,127.0,25.0
Mats Zuccarello,99.0,80.0,16.0,37.0,53.0,36.0,-10.0,1135.0,1.0,3.0,17.0,0.2,0.46299999999999997,0.6629999999999999,178.0,9.0,62.0,67.0,171.0,48.0,12.0,28.0,40.0,24.0,-8.0,1191.0,3.0,1.0,15.0,0.25,0.583,0.833,104.0,11.5,57.0,43.0
Matt Duchene,76.0,82.0,27.0,32.0,59.0,18.0,-22.0,1099.0,9.0,3.0,13.0,0.32899999999999996,0.39,0.72,190.0,14.2,60.0,49.0,52.0,73.0,31.0,39.0,70.0,8.0,-3.0,1130.0,6.0,1.0,14.0,0.425,0.534,0.9590000000000001,172.0,18.0,28.0,40.0
Matthew Tkachuk,120.0,68.0,24.0,25.0,49.0,61.0,-1.0,1035.0,10.0,2.0,17.0,0.353,0.368,0.721,188.0,12.8,80.0,16.0,31.0,80.0,34.0,43.0,77.0,62.0,14.0,1055.0,11.0,2.0,24.0,0.425,0.5379999999999999,0.963,207.0,16.4,104.0,13.0
Mattias Ekholm,225.0,81.0,10.0,24.0,34.0,46.0,25.0,1414.0,5.0,1.0,13.0,0.12300000000000001,0.29600000000000004,0.42,135.0,7.4,75.0,117.0,147.0,80.0,8.0,36.0,44.0,47.0,27.0,1401.0,2.0,3.0,7.0,0.1,0.45,0.55,146.0,5.5,68.0,107.0
Mattias Janmark-Nylén,221.0,81.0,19.0,15.0,34.0,24.0,-13.0,1016.0,4.0,4.0,5.0,0.235,0.185,0.42,136.0,14.0,15.0,41.0,334.0,81.0,6.0,19.0,25.0,24.0,-4.0,912.0,0.0,0.0,1.0,0.07400000000000001,0.235,0.309,105.0,5.7,28.0,44.0
Max Domi,146.0,82.0,9.0,36.0,45.0,73.0,-7.0,1002.0,1.0,0.0,9.0,0.11,0.439,0.5489999999999999,150.0,6.0,49.0,28.0,47.0,82.0,28.0,44.0,72.0,80.0,20.0,1042.0,4.0,2.0,11.0,0.341,0.537,0.878,203.0,13.8,53.0,39.0
Max Pacioretty,189.0,64.0,17.0,20.0,37.0,30.0,-16.0,1140.0,6.0,4.0,15.0,0.266,0.313,0.578,212.0,8.0,118.0,27.0,168.0,66.0,22.0,18.0,40.0,36.0,-13.0,1020.0,4.0,5.0,8.0,0.33299999999999996,0.273,0.606,191.0,11.5,119.0,20.0
Michael Ferland,168.0,77.0,21.0,20.0,41.0,24.0,5.0,900.0,6.0,0.0,6.0,0.273,0.26,0.532,144.0,14.6,171.0,30.0,170.0,71.0,17.0,23.0,40.0,58.0,13.0,845.0,6.0,3.0,13.0,0.239,0.324,0.563,156.0,10.9,182.0,19.0
Mika Zibanejad,130.0,72.0,27.0,20.0,47.0,14.0,-23.0,1077.0,14.0,4.0,21.0,0.375,0.278,0.653,212.0,12.7,92.0,64.0,39.0,82.0,30.0,44.0,74.0,47.0,-12.0,1233.0,11.0,5.0,23.0,0.366,0.537,0.902,236.0,12.7,134.0,66.0
Mikael Backlund,145.0,82.0,14.0,31.0,45.0,78.0,-21.0,1141.0,3.0,2.0,11.0,0.171,0.37799999999999995,0.5489999999999999,214.0,6.5,54.0,40.0,126.0,77.0,21.0,26.0,47.0,52.0,34.0,1073.0,1.0,4.0,2.0,0.273,0.33799999999999997,0.61,205.0,10.2,52.0,26.0
Mikael Granlund,41.0,77.0,21.0,46.0,67.0,18.0,13.0,1126.0,7.0,2.0,19.0,0.273,0.597,0.87,193.0,10.9,47.0,45.0,92.0,79.0,16.0,38.0,54.0,24.0,-8.0,1100.0,2.0,5.0,20.0,0.203,0.48100000000000004,0.684,189.0,8.5,46.0,40.0
Mike Green,238.0,66.0,8.0,25.0,33.0,38.0,-14.0,1324.0,1.0,0.0,13.0,0.121,0.379,0.5,132.0,6.1,78.0,74.0,318.0,43.0,5.0,21.0,26.0,28.0,-1.0,1300.0,0.0,0.0,3.0,0.11599999999999999,0.488,0.605,92.0,5.4,60.0,56.0
Mike Hoffman,86.0,82.0,22.0,34.0,56.0,32.0,-20.0,1104.0,8.0,5.0,21.0,0.268,0.415,0.6829999999999999,257.0,8.6,31.0,34.0,51.0,82.0,36.0,34.0,70.0,30.0,-24.0,1070.0,17.0,6.0,35.0,0.439,0.415,0.8540000000000001,253.0,14.2,42.0,26.0
Mikhail Sergachyov,181.0,79.0,9.0,31.0,40.0,38.0,11.0,922.0,3.0,5.0,16.0,0.114,0.392,0.506,141.0,6.4,90.0,64.0,243.0,75.0,6.0,26.0,32.0,28.0,12.0,1075.0,0.0,0.0,6.0,0.08,0.34700000000000003,0.42700000000000005,128.0,4.7,97.0,93.0
Mikkel Bødker,194.0,74.0,15.0,22.0,37.0,12.0,0.0,801.0,4.0,4.0,8.0,0.203,0.297,0.5,119.0,12.6,41.0,24.0,216.0,71.0,7.0,28.0,35.0,6.0,-23.0,841.0,2.0,1.0,7.0,0.099,0.39399999999999996,0.493,88.0,8.0,54.0,28.0
Mikko Koivu,144.0,82.0,14.0,31.0,45.0,46.0,9.0,1109.0,3.0,2.0,14.0,0.171,0.37799999999999995,0.5489999999999999,170.0,8.2,51.0,53.0,273.0,48.0,8.0,21.0,29.0,22.0,-2.0,1097.0,2.0,0.0,12.0,0.16699999999999998,0.43799999999999994,0.604,89.0,9.0,13.0,32.0
Mikko Rantanen,17.0,81.0,29.0,55.0,84.0,34.0,0.0,1137.0,12.0,3.0,35.0,0.358,0.679,1.037,178.0,16.3,32.0,40.0,17.0,74.0,31.0,56.0,87.0,54.0,13.0,1250.0,16.0,4.0,33.0,0.419,0.757,1.176,193.0,16.1,59.0,41.0
Miles Wood,240.0,76.0,19.0,13.0,32.0,84.0,-6.0,747.0,3.0,2.0,3.0,0.25,0.171,0.42100000000000004,170.0,11.2,75.0,22.0,342.0,63.0,10.0,14.0,24.0,91.0,-10.0,821.0,1.0,1.0,3.0,0.159,0.222,0.381,159.0,6.3,97.0,27.0
Mitchell Marner,39.0,82.0,22.0,47.0,69.0,26.0,-1.0,983.0,8.0,2.0,27.0,0.268,0.573,0.841,194.0,11.3,31.0,25.0,11.0,82.0,26.0,68.0,94.0,22.0,22.0,1189.0,3.0,5.0,21.0,0.317,0.8290000000000001,1.146,233.0,11.2,29.0,43.0
Morgan Rielly,106.0,76.0,6.0,46.0,52.0,14.0,-4.0,1295.0,1.0,0.0,25.0,0.079,0.605,0.684,182.0,3.3,48.0,84.0,50.0,82.0,20.0,52.0,72.0,14.0,24.0,1387.0,3.0,5.0,21.0,0.244,0.634,0.878,223.0,9.0,61.0,114.0
Nate Schmidt,205.0,76.0,5.0,31.0,36.0,16.0,19.0,1331.0,1.0,1.0,11.0,0.066,0.408,0.474,103.0,4.9,41.0,121.0,264.0,61.0,9.0,21.0,30.0,8.0,22.0,1317.0,1.0,1.0,8.0,0.14800000000000002,0.344,0.49200000000000005,112.0,8.0,37.0,100.0
Nathan MacKinnon,5.0,74.0,39.0,58.0,97.0,55.0,11.0,1193.0,12.0,12.0,32.0,0.527,0.784,1.311,284.0,13.7,38.0,22.0,7.0,82.0,41.0,58.0,99.0,34.0,20.0,1325.0,12.0,6.0,37.0,0.5,0.7070000000000001,1.207,365.0,11.2,54.0,31.0
Nazem Kadri,90.0,80.0,32.0,23.0,55.0,42.0,2.0,1005.0,12.0,3.0,19.0,0.4,0.28800000000000003,0.688,211.0,15.2,94.0,26.0,143.0,73.0,16.0,28.0,44.0,43.0,-2.0,971.0,4.0,5.0,13.0,0.21899999999999997,0.384,0.603,184.0,8.7,85.0,13.0
Nick Bjugstad,122.0,82.0,19.0,30.0,49.0,41.0,5.0,907.0,1.0,1.0,7.0,0.23199999999999998,0.366,0.598,230.0,8.3,95.0,19.0,306.0,64.0,14.0,12.0,26.0,30.0,6.0,907.0,2.0,2.0,6.0,0.21899999999999997,0.188,0.406,154.0,9.1,126.0,27.0
