Name,Rk_2017,GP_2017,G_2017,A_2017,P_2017,PIM_2017,+/-_2017,TOI_2017,PPG_2017,GWG_2017,PPP_2017,G/GP_2017,A/GP_2017,P/GP_2017,SHOTS_2017,SH%_2017,HITS_2017,BS_2017,Rk_2018,GP_2018,G_2018,A_2018,P_2018,PIM_2018,+/-_2018,TOI_2018,PPG_2018,GWG_2018,PPP_2018,G/GP_2018,A/GP_2018,P/GP_2018,SHOTS_2018,SH%_2018,HITS_2018,BS_2018
Nick Foligno,231.0,72.0,15.0,18.0,33.0,50.0,1.0,1101.0,2.0,1.0,4.0,0.20800000000000002,0.25,0.45799999999999996,137.0,11.0,182.0,60.0,207.0,73.0,17.0,18.0,35.0,44.0,12.0,1062.0,2.0,2.0,4.0,0.233,0.247,0.479,141.0,12.1,175.0,51.0
Nick Leddy,165.0,80.0,10.0,32.0,42.0,20.0,-42.0,1345.0,4.0,1.0,14.0,0.125,0.4,0.525,153.0,6.5,95.0,104.0,319.0,82.0,4.0,22.0,26.0,18.0,0.0,1293.0,0.0,0.0,10.0,0.049,0.268,0.317,116.0,3.5,77.0,89.0
Nick Schmaltz,103.0,78.0,21.0,31.0,52.0,18.0,1.0,1093.0,4.0,2.0,13.0,0.26899999999999996,0.397,0.667,118.0,17.8,13.0,39.0,331.0,40.0,7.0,18.0,25.0,8.0,-12.0,1069.0,5.0,2.0,8.0,0.175,0.45,0.625,62.0,11.3,5.0,12.0
Nicklas Bäckström,32.0,81.0,21.0,50.0,71.0,46.0,5.0,1179.0,7.0,4.0,26.0,0.259,0.617,0.877,165.0,12.7,37.0,51.0,40.0,80.0,22.0,52.0,74.0,30.0,2.0,1197.0,7.0,5.0,25.0,0.275,0.65,0.925,169.0,13.0,54.0,30.0
Nico Hischier,105.0,82.0,20.0,32.0,52.0,26.0,10.0,978.0,1.0,2.0,6.0,0.244,0.39,0.634,180.0,11.1,56.0,39.0,128.0,69.0,17.0,30.0,47.0,24.0,0.0,1086.0,3.0,3.0,11.0,0.24600000000000002,0.435,0.6809999999999999,160.0,10.6,53.0,44.0
Nikita Kucherov,3.0,80.0,39.0,61.0,100.0,42.0,15.0,1188.0,8.0,7.0,36.0,0.488,0.763,1.25,279.0,14.0,31.0,15.0,1.0,82.0,41.0,87.0,128.0,62.0,24.0,1197.0,15.0,8.0,48.0,0.5,1.061,1.561,246.0,16.7,44.0,31.0
Nikolaj Ehlers,72.0,82.0,29.0,31.0,60.0,26.0,14.0,965.0,7.0,7.0,13.0,0.354,0.37799999999999995,0.732,231.0,12.6,39.0,27.0,185.0,62.0,21.0,16.0,37.0,15.0,2.0,945.0,2.0,4.0,7.0,0.33899999999999997,0.258,0.597,158.0,13.3,27.0,16.0
Nino Niederreiter,241.0,63.0,18.0,14.0,32.0,36.0,14.0,900.0,7.0,4.0,8.0,0.28600000000000003,0.222,0.508,133.0,13.5,58.0,20.0,97.0,82.0,23.0,30.0,53.0,30.0,-4.0,973.0,6.0,3.0,15.0,0.28,0.366,0.6459999999999999,184.0,12.5,94.0,20.0
Noah Hanifin,248.0,79.0,10.0,22.0,32.0,21.0,-20.0,1131.0,1.0,3.0,7.0,0.127,0.278,0.405,165.0,6.1,81.0,69.0,238.0,80.0,5.0,28.0,33.0,12.0,18.0,1246.0,1.0,2.0,5.0,0.063,0.35,0.413,116.0,4.3,87.0,83.0
Oliver Bjorkstrand,180.0,82.0,11.0,29.0,40.0,9.0,4.0,856.0,3.0,2.0,9.0,0.134,0.354,0.488,163.0,6.8,64.0,43.0,199.0,77.0,23.0,13.0,36.0,8.0,8.0,740.0,3.0,1.0,3.0,0.299,0.16899999999999998,0.46799999999999997,161.0,14.3,43.0,34.0
Oliver Ekman-Larsson,163.0,82.0,14.0,28.0,42.0,44.0,-28.0,1420.0,6.0,3.0,15.0,0.171,0.341,0.512,202.0,6.9,160.0,79.0,144.0,81.0,14.0,30.0,44.0,52.0,-16.0,1418.0,5.0,2.0,19.0,0.17300000000000001,0.37,0.5429999999999999,176.0,8.0,162.0,52.0
Ondrej Palat,216.0,56.0,11.0,24.0,35.0,6.0,16.0,1021.0,4.0,0.0,9.0,0.196,0.429,0.625,109.0,10.1,80.0,48.0,227.0,64.0,8.0,26.0,34.0,20.0,4.0,893.0,2.0,1.0,8.0,0.125,0.406,0.531,100.0,8.0,104.0,34.0
P.K. Subban,79.0,82.0,16.0,43.0,59.0,82.0,18.0,1446.0,5.0,2.0,25.0,0.195,0.524,0.72,207.0,7.7,111.0,90.0,252.0,63.0,9.0,22.0,31.0,60.0,5.0,1359.0,2.0,1.0,10.0,0.14300000000000002,0.349,0.49200000000000005,168.0,5.4,56.0,75.0
Patric Hörnqvist,119.0,70.0,29.0,20.0,49.0,58.0,2.0,1038.0,15.0,1.0,22.0,0.414,0.28600000000000003,0.7,247.0,11.7,137.0,64.0,188.0,69.0,18.0,19.0,37.0,26.0,-3.0,928.0,6.0,2.0,12.0,0.261,0.275,0.536,197.0,9.1,150.0,34.0
Patrice Bergeron,59.0,64.0,30.0,33.0,63.0,26.0,21.0,1166.0,10.0,6.0,21.0,0.469,0.516,0.9840000000000001,224.0,13.4,48.0,42.0,29.0,65.0,32.0,47.0,79.0,30.0,23.0,1108.0,9.0,3.0,27.0,0.49200000000000005,0.723,1.215,205.0,15.6,43.0,60.0
Patrick Kane,28.0,82.0,27.0,49.0,76.0,32.0,-20.0,1211.0,5.0,4.0,22.0,0.32899999999999996,0.598,0.927,285.0,9.5,18.0,14.0,3.0,81.0,44.0,66.0,110.0,22.0,2.0,1349.0,9.0,7.0,30.0,0.5429999999999999,0.815,1.358,341.0,12.9,21.0,18.0
Patrick Marleau,131.0,82.0,27.0,20.0,47.0,16.0,1.0,1019.0,5.0,5.0,9.0,0.32899999999999996,0.244,0.573,203.0,13.3,85.0,26.0,189.0,82.0,16.0,21.0,37.0,28.0,-6.0,980.0,4.0,3.0,10.0,0.195,0.256,0.451,161.0,9.9,74.0,41.0
Patrick Maroon,158.0,74.0,17.0,26.0,43.0,73.0,1.0,992.0,1.0,4.0,7.0,0.23,0.35100000000000003,0.581,141.0,12.1,150.0,14.0,282.0,74.0,10.0,18.0,28.0,64.0,-3.0,850.0,2.0,3.0,11.0,0.135,0.243,0.37799999999999995,118.0,8.5,135.0,7.0
Patrik Laine,34.0,82.0,44.0,26.0,70.0,24.0,8.0,988.0,20.0,8.0,31.0,0.537,0.317,0.8540000000000001,241.0,18.3,74.0,43.0,109.0,82.0,30.0,20.0,50.0,42.0,-24.0,1033.0,15.0,3.0,23.0,0.366,0.244,0.61,245.0,12.2,70.0,44.0
Paul Byron,206.0,82.0,20.0,15.0,35.0,23.0,-4.0,967.0,2.0,1.0,4.0,0.244,0.183,0.42700000000000005,115.0,17.4,137.0,55.0,246.0,56.0,15.0,16.0,31.0,17.0,16.0,874.0,0.0,3.0,1.0,0.268,0.28600000000000003,0.5539999999999999,94.0,16.0,114.0,36.0
Paul Stastny,100.0,82.0,16.0,37.0,53.0,18.0,1.0,1098.0,3.0,3.0,9.0,0.195,0.451,0.6459999999999999,159.0,10.1,43.0,38.0,158.0,50.0,13.0,29.0,42.0,30.0,14.0,1086.0,1.0,2.0,4.0,0.26,0.58,0.84,103.0,12.6,35.0,15.0
Pavel Buchnevich,161.0,74.0,14.0,29.0,43.0,20.0,-3.0,900.0,5.0,4.0,17.0,0.18899999999999997,0.392,0.581,136.0,10.3,51.0,35.0,180.0,64.0,21.0,17.0,38.0,13.0,-10.0,910.0,7.0,1.0,12.0,0.32799999999999996,0.266,0.594,119.0,17.7,60.0,20.0
Phil Kessel,8.0,82.0,34.0,58.0,92.0,36.0,-4.0,1121.0,12.0,6.0,42.0,0.415,0.7070000000000001,1.122,261.0,13.0,10.0,17.0,25.0,82.0,27.0,55.0,82.0,28.0,-19.0,1078.0,12.0,10.0,36.0,0.32899999999999996,0.6709999999999999,1.0,215.0,12.6,12.0,18.0
Pierre-Luc Dubois,129.0,82.0,20.0,28.0,48.0,49.0,8.0,997.0,6.0,4.0,15.0,0.244,0.341,0.585,165.0,12.1,127.0,46.0,71.0,82.0,27.0,34.0,61.0,64.0,16.0,1062.0,2.0,5.0,9.0,0.32899999999999996,0.415,0.7440000000000001,174.0,15.5,115.0,52.0
Radek Faksa,228.0,79.0,17.0,16.0,33.0,36.0,21.0,915.0,0.0,3.0,0.0,0.215,0.203,0.418,118.0,14.4,101.0,56.0,261.0,81.0,15.0,15.0,30.0,54.0,-3.0,985.0,1.0,1.0,3.0,0.185,0.185,0.37,114.0,13.2,103.0,65.0
Rasmus Ristolainen,173.0,73.0,6.0,35.0,41.0,48.0,-25.0,1590.0,1.0,1.0,23.0,0.08199999999999999,0.479,0.562,182.0,3.3,206.0,111.0,152.0,78.0,5.0,38.0,43.0,38.0,-41.0,1478.0,1.0,2.0,17.0,0.064,0.48700000000000004,0.551,182.0,2.8,235.0,121.0
Reilly Smith,74.0,67.0,22.0,38.0,60.0,24.0,31.0,1075.0,7.0,4.0,14.0,0.32799999999999996,0.5670000000000001,0.8959999999999999,162.0,13.6,40.0,24.0,98.0,74.0,19.0,34.0,53.0,14.0,13.0,1096.0,4.0,1.0,14.0,0.257,0.45899999999999996,0.716,178.0,10.7,39.0,33.0
Richard Panik,210.0,72.0,14.0,21.0,35.0,38.0,7.0,911.0,4.0,0.0,6.0,0.19399999999999998,0.292,0.486,136.0,10.3,137.0,37.0,233.0,75.0,14.0,19.0,33.0,44.0,-3.0,996.0,0.0,2.0,2.0,0.187,0.253,0.44,140.0,10.0,137.0,52.0
Rickard Rakell,37.0,77.0,34.0,35.0,69.0,14.0,6.0,1165.0,8.0,3.0,18.0,0.442,0.455,0.8959999999999999,230.0,14.8,115.0,30.0,150.0,69.0,18.0,25.0,43.0,27.0,-13.0,1108.0,6.0,2.0,13.0,0.261,0.36200000000000004,0.623,194.0,9.3,82.0,38.0
Roman Josi,101.0,75.0,14.0,39.0,53.0,24.0,24.0,1468.0,7.0,3.0,20.0,0.187,0.52,0.7070000000000001,253.0,5.5,80.0,120.0,86.0,82.0,15.0,41.0,56.0,42.0,9.0,1509.0,2.0,4.0,12.0,0.183,0.5,0.6829999999999999,274.0,5.5,53.0,144.0
Ryan Dzingel,167.0,79.0,23.0,18.0,41.0,35.0,-17.0,989.0,4.0,2.0,8.0,0.29100000000000004,0.228,0.519,136.0,16.9,60.0,19.0,81.0,78.0,26.0,30.0,56.0,29.0,-9.0,1008.0,5.0,5.0,11.0,0.33299999999999996,0.385,0.718,159.0,16.4,54.0,38.0
Ryan Ellis,249.0,44.0,9.0,23.0,32.0,6.0,26.0,1401.0,2.0,2.0,5.0,0.205,0.523,0.727,110.0,8.2,27.0,84.0,166.0,82.0,7.0,34.0,41.0,20.0,21.0,1440.0,1.0,2.0,5.0,0.085,0.415,0.5,149.0,4.7,71.0,154.0
Ryan Getzlaf,71.0,56.0,11.0,50.0,61.0,42.0,20.0,1286.0,0.0,0.0,13.0,0.196,0.893,1.089,117.0,9.4,96.0,57.0,119.0,67.0,14.0,34.0,48.0,58.0,-19.0,1167.0,1.0,2.0,11.0,0.209,0.507,0.716,133.0,10.5,150.0,74.0
Ryan Johansen,98.0,79.0,15.0,39.0,54.0,78.0,13.0,1113.0,1.0,3.0,15.0,0.19,0.494,0.684,129.0,11.6,87.0,35.0,65.0,80.0,14.0,50.0,64.0,42.0,7.0,1173.0,0.0,6.0,16.0,0.175,0.625,0.8,136.0,10.3,95.0,23.0
Ryan Nugent-Hopkins,124.0,62.0,24.0,24.0,48.0,20.0,10.0,1084.0,4.0,2.0,9.0,0.387,0.387,0.774,151.0,15.9,44.0,39.0,57.0,82.0,28.0,41.0,69.0,26.0,-13.0,1206.0,8.0,3.0,26.0,0.341,0.5,0.841,208.0,13.5,69.0,40.0
Ryan O'Reilly,69.0,81.0,24.0,37.0,61.0,2.0,-23.0,1249.0,15.0,3.0,23.0,0.29600000000000004,0.457,0.753,230.0,10.4,42.0,48.0,32.0,82.0,28.0,49.0,77.0,12.0,22.0,1245.0,6.0,5.0,22.0,0.341,0.598,0.9390000000000001,234.0,12.0,31.0,36.0
Ryan Pulock,247.0,68.0,10.0,22.0,32.0,14.0,-4.0,1104.0,5.0,0.0,11.0,0.147,0.324,0.47100000000000003,184.0,5.4,113.0,86.0,198.0,82.0,9.0,28.0,37.0,22.0,21.0,1341.0,3.0,3.0,9.0,0.11,0.341,0.451,180.0,5.0,143.0,148.0
Ryan Strome,224.0,82.0,13.0,21.0,34.0,33.0,-4.0,913.0,2.0,3.0,6.0,0.159,0.256,0.415,147.0,8.8,43.0,17.0,205.0,81.0,19.0,16.0,35.0,64.0,-3.0,934.0,4.0,2.0,7.0,0.235,0.198,0.43200000000000005,110.0,17.3,76.0,36.0
Ryan Suter,113.0,78.0,6.0,45.0,51.0,34.0,-1.0,1606.0,1.0,2.0,23.0,0.077,0.5770000000000001,0.654,149.0,4.0,78.0,138.0,131.0,82.0,7.0,40.0,47.0,41.0,-8.0,1601.0,3.0,2.0,15.0,0.085,0.488,0.573,136.0,5.2,78.0,109.0
Sam Reinhart,114.0,82.0,25.0,25.0,50.0,26.0,-24.0,1026.0,12.0,5.0,21.0,0.305,0.305,0.61,188.0,13.3,48.0,42.0,63.0,82.0,22.0,43.0,65.0,16.0,-10.0,1137.0,2.0,1.0,15.0,0.268,0.524,0.7929999999999999,180.0,12.2,38.0,47.0
Sean Couturier,27.0,82.0,31.0,45.0,76.0,31.0,34.0,1295.0,7.0,6.0,14.0,0.37799999999999995,0.5489999999999999,0.927,227.0,13.7,74.0,44.0,35.0,80.0,33.0,43.0,76.0,34.0,2.0,1327.0,8.0,5.0,17.0,0.413,0.5379999999999999,0.95,223.0,14.8,40.0,60.0
Sean Monahan,53.0,74.0,31.0,33.0,64.0,24.0,3.0,1121.0,9.0,11.0,19.0,0.419,0.446,0.865,202.0,15.4,35.0,17.0,23.0,78.0,34.0,48.0,82.0,12.0,7.0,1143.0,12.0,5.0,23.0,0.436,0.615,1.051,211.0,16.1,36.0,24.0
Sebastian Aho,48.0,78.0,29.0,36.0,65.0,24.0,4.0,1075.0,8.0,4.0,16.0,0.37200000000000005,0.462,0.833,200.0,14.5,65.0,17.0,21.0,82.0,30.0,53.0,83.0,26.0,25.0,1209.0,3.0,7.0,24.0,0.366,0.6459999999999999,1.012,243.0,12.4,65.0,34.0
Seth Jones,83.0,78.0,16.0,41.0,57.0,30.0,10.0,1475.0,7.0,4.0,24.0,0.205,0.526,0.731,249.0,6.4,92.0,124.0,136.0,75.0,9.0,37.0,46.0,28.0,1.0,1549.0,0.0,4.0,10.0,0.12,0.493,0.613,184.0,4.9,106.0,133.0
Shayne Gostisbehere,51.0,78.0,13.0,52.0,65.0,25.0,10.0,1287.0,7.0,2.0,33.0,0.16699999999999998,0.667,0.833,221.0,5.9,53.0,116.0,196.0,78.0,9.0,28.0,37.0,22.0,-20.0,1179.0,4.0,2.0,14.0,0.115,0.359,0.474,180.0,5.0,46.0,102.0
Sidney Crosby,10.0,82.0,29.0,60.0,89.0,46.0,0.0,1241.0,9.0,6.0,38.0,0.354,0.732,1.085,247.0,11.7,75.0,36.0,6.0,79.0,35.0,65.0,100.0,36.0,18.0,1259.0,12.0,3.0,29.0,0.44299999999999995,0.823,1.266,220.0,15.9,85.0,43.0
Steven Stamkos,12.0,78.0,27.0,59.0,86.0,72.0,18.0,1125.0,15.0,1.0,33.0,0.34600000000000003,0.7559999999999999,1.103,212.0,12.7,61.0,35.0,9.0,82.0,45.0,53.0,98.0,37.0,4.0,1098.0,19.0,6.0,40.0,0.5489999999999999,0.6459999999999999,1.195,234.0,19.2,72.0,40.0
T.J. Oshie,134.0,74.0,18.0,29.0,47.0,31.0,2.0,1104.0,9.0,3.0,18.0,0.243,0.392,0.635,127.0,14.2,124.0,54.0,90.0,69.0,25.0,29.0,54.0,36.0,5.0,1116.0,6.0,4.0,14.0,0.36200000000000004,0.42,0.7829999999999999,143.0,17.5,133.0,55.0
Tanner Pearson,177.0,82.0,15.0,25.0,40.0,27.0,11.0,957.0,2.0,4.0,5.0,0.183,0.305,0.488,180.0,8.3,116.0,36.0,293.0,80.0,18.0,9.0,27.0,25.0,-15.0,843.0,3.0,1.0,5.0,0.225,0.113,0.33799999999999997,147.0,12.2,128.0,41.0
Taylor Hall,6.0,76.0,39.0,54.0,93.0,34.0,14.0,1147.0,13.0,7.0,37.0,0.513,0.711,1.224,278.0,14.0,72.0,44.0,195.0,33.0,11.0,26.0,37.0,16.0,-6.0,1181.0,1.0,3.0,12.0,0.33299999999999996,0.7879999999999999,1.121,113.0,9.7,22.0,29.0
Teuvo Teräväinen,57.0,82.0,23.0,41.0,64.0,14.0,8.0,1013.0,5.0,3.0,20.0,0.28,0.5,0.78,185.0,12.4,26.0,22.0,36.0,82.0,21.0,55.0,76.0,12.0,30.0,1075.0,8.0,1.0,24.0,0.256,0.6709999999999999,0.927,167.0,12.6,35.0,23.0
Thomas Vanek,85.0,80.0,24.0,32.0,56.0,36.0,-3.0,845.0,4.0,1.0,15.0,0.3,0.4,0.7,168.0,14.3,36.0,18.0,201.0,64.0,16.0,20.0,36.0,26.0,-12.0,846.0,4.0,1.0,11.0,0.25,0.313,0.563,108.0,14.8,38.0,13.0
Timo Meier,202.0,81.0,21.0,15.0,36.0,51.0,2.0,891.0,3.0,4.0,4.0,0.259,0.185,0.444,210.0,10.0,105.0,48.0,60.0,78.0,30.0,36.0,66.0,55.0,9.0,1018.0,6.0,2.0,10.0,0.385,0.462,0.846,250.0,12.0,99.0,40.0
Tom Wilson,211.0,78.0,14.0,21.0,35.0,187.0,10.0,959.0,0.0,1.0,1.0,0.179,0.26899999999999996,0.449,123.0,11.4,250.0,51.0,167.0,63.0,22.0,18.0,40.0,128.0,11.0,1088.0,3.0,2.0,5.0,0.349,0.28600000000000003,0.635,130.0,16.9,200.0,52.0
Tomas Hertl,139.0,79.0,22.0,24.0,46.0,41.0,-2.0,1086.0,6.0,5.0,12.0,0.278,0.304,0.5820000000000001,175.0,12.6,84.0,71.0,38.0,77.0,35.0,39.0,74.0,18.0,5.0,1141.0,11.0,5.0,15.0,0.455,0.506,0.961,176.0,19.9,53.0,64.0
Tomas Tatar,220.0,82.0,20.0,14.0,34.0,34.0,-19.0,975.0,9.0,4.0,13.0,0.244,0.171,0.415,174.0,11.5,67.0,29.0,77.0,80.0,25.0,33.0,58.0,34.0,21.0,984.0,4.0,4.0,8.0,0.313,0.413,0.725,195.0,12.8,77.0,30.0
Torey Krug,80.0,76.0,14.0,45.0,59.0,36.0,0.0,1224.0,5.0,4.0,24.0,0.184,0.5920000000000001,0.7759999999999999,197.0,7.1,79.0,73.0,101.0,64.0,6.0,47.0,53.0,33.0,-2.0,1278.0,2.0,2.0,30.0,0.094,0.7340000000000001,0.828,151.0,4.0,53.0,60.0
Travis Konecny,132.0,81.0,24.0,23.0,47.0,46.0,17.0,894.0,1.0,6.0,3.0,0.29600000000000004,0.284,0.58,177.0,13.6,97.0,53.0,113.0,82.0,24.0,25.0,49.0,40.0,-4.0,915.0,4.0,3.0,8.0,0.293,0.305,0.598,182.0,13.2,65.0,45.0
Tyler Bozak,162.0,81.0,11.0,32.0,43.0,28.0,6.0,938.0,3.0,2.0,13.0,0.136,0.395,0.531,154.0,7.1,43.0,28.0,183.0,72.0,13.0,25.0,38.0,20.0,-3.0,980.0,2.0,3.0,8.0,0.18100000000000002,0.34700000000000003,0.528,141.0,9.2,52.0,33.0
Tyler Johnson,116.0,81.0,21.0,29.0,50.0,24.0,3.0,1019.0,4.0,3.0,13.0,0.259,0.358,0.617,186.0,11.3,48.0,47.0,121.0,80.0,29.0,18.0,47.0,28.0,15.0,956.0,1.0,4.0,8.0,0.363,0.225,0.588,163.0,17.8,50.0,32.0
Tyler Myers,204.0,82.0,6.0,30.0,36.0,48.0,9.0,1285.0,3.0,3.0,17.0,0.073,0.366,0.439,150.0,4.0,68.0,119.0,254.0,80.0,9.0,22.0,31.0,63.0,11.0,1220.0,0.0,3.0,7.0,0.113,0.275,0.38799999999999996,156.0,5.8,97.0,99.0
Tyler Seguin,24.0,82.0,40.0,38.0,78.0,43.0,12.0,1254.0,14.0,6.0,25.0,0.488,0.46299999999999997,0.951,335.0,11.9,74.0,44.0,28.0,82.0,33.0,47.0,80.0,18.0,17.0,1244.0,9.0,8.0,27.0,0.402,0.573,0.976,334.0,9.9,74.0,47.0
Tyler Toffoli,133.0,82.0,24.0,23.0,47.0,16.0,9.0,966.0,6.0,6.0,12.0,0.293,0.28,0.573,250.0,9.6,75.0,17.0,220.0,82.0,13.0,21.0,34.0,23.0,-16.0,1032.0,3.0,3.0,5.0,0.159,0.256,0.415,226.0,5.8,39.0,23.0
Tyson Barrie,84.0,68.0,14.0,43.0,57.0,22.0,-15.0,1361.0,7.0,3.0,30.0,0.20600000000000002,0.632,0.838,178.0,7.9,40.0,79.0,76.0,78.0,14.0,45.0,59.0,36.0,-3.0,1306.0,2.0,2.0,25.0,0.179,0.5770000000000001,0.7559999999999999,218.0,6.4,48.0,93.0
Valtteri Filppula,236.0,81.0,11.0,22.0,33.0,20.0,-7.0,988.0,3.0,4.0,4.0,0.136,0.272,0.40700000000000003,70.0,15.7,25.0,55.0,244.0,72.0,17.0,14.0,31.0,16.0,19.0,856.0,0.0,4.0,0.0,0.23600000000000002,0.19399999999999998,0.431,78.0,21.8,12.0,34.0
Victor Hedman,60.0,77.0,17.0,46.0,63.0,54.0,32.0,1550.0,2.0,1.0,26.0,0.221,0.597,0.818,216.0,7.9,139.0,110.0,93.0,70.0,12.0,42.0,54.0,44.0,24.0,1366.0,2.0,4.0,25.0,0.171,0.6,0.7709999999999999,182.0,6.6,59.0,97.0
Viktor Arvidsson,67.0,78.0,29.0,32.0,61.0,36.0,20.0,1064.0,3.0,6.0,8.0,0.37200000000000005,0.41,0.782,247.0,11.7,30.0,52.0,115.0,58.0,34.0,14.0,48.0,26.0,12.0,1148.0,3.0,7.0,4.0,0.586,0.24100000000000002,0.828,195.0,17.4,18.0,23.0
Vincent Trocheck,29.0,82.0,31.0,44.0,75.0,54.0,-9.0,1281.0,13.0,5.0,27.0,0.37799999999999995,0.537,0.915,287.0,10.8,145.0,55.0,224.0,55.0,10.0,24.0,34.0,54.0,-9.0,1179.0,3.0,1.0,13.0,0.182,0.436,0.618,158.0,6.3,112.0,42.0
Vladimir Tarasenko,44.0,80.0,33.0,33.0,66.0,17.0,15.0,1143.0,6.0,5.0,16.0,0.413,0.413,0.825,306.0,10.8,89.0,37.0,58.0,76.0,33.0,35.0,68.0,22.0,8.0,1103.0,12.0,5.0,22.0,0.434,0.461,0.895,275.0,12.0,88.0,40.0
Vladislav Namestnikov,127.0,81.0,22.0,26.0,48.0,45.0,6.0,1023.0,9.0,2.0,16.0,0.272,0.321,0.593,155.0,14.2,79.0,44.0,249.0,78.0,11.0,20.0,31.0,44.0,-7.0,947.0,1.0,3.0,3.0,0.141,0.256,0.397,119.0,9.2,140.0,62.0
Wayne Simmonds,138.0,75.0,24.0,22.0,46.0,57.0,-16.0,1085.0,11.0,5.0,17.0,0.32,0.293,0.613,176.0,13.6,129.0,54.0,258.0,79.0,17.0,13.0,30.0,99.0,-16.0,939.0,5.0,2.0,8.0,0.215,0.165,0.38,157.0,10.8,137.0,28.0
Will Butcher,156.0,81.0,5.0,39.0,44.0,8.0,1.0,963.0,3.0,1.0,23.0,0.062,0.48100000000000004,0.5429999999999999,88.0,5.7,21.0,62.0,266.0,78.0,4.0,26.0,30.0,18.0,-17.0,1156.0,1.0,1.0,14.0,0.051,0.33299999999999996,0.385,108.0,3.7,38.0,74.0
William Karlsson,23.0,82.0,43.0,35.0,78.0,12.0,49.0,1123.0,8.0,6.0,16.0,0.524,0.42700000000000005,0.951,184.0,23.4,48.0,45.0,82.0,82.0,24.0,32.0,56.0,16.0,1.0,1130.0,7.0,5.0,14.0,0.293,0.39,0.6829999999999999,169.0,14.2,51.0,55.0
William Nylander,70.0,82.0,20.0,41.0,61.0,10.0,20.0,1001.0,5.0,8.0,12.0,0.244,0.5,0.7440000000000001,184.0,10.9,21.0,18.0,299.0,54.0,7.0,20.0,27.0,16.0,-4.0,930.0,1.0,0.0,6.0,0.13,0.37,0.5,130.0,5.4,16.0,14.0
Yanni Gourde,56.0,82.0,25.0,39.0,64.0,50.0,34.0,969.0,7.0,5.0,13.0,0.305,0.47600000000000003,0.78,136.0,18.4,57.0,42.0,118.0,80.0,22.0,26.0,48.0,66.0,9.0,950.0,5.0,5.0,9.0,0.275,0.325,0.6,130.0,16.9,83.0,30.0
Zach Hyman,178.0,82.0,15.0,25.0,40.0,37.0,22.0,1041.0,0.0,2.0,0.0,0.183,0.305,0.488,148.0,10.1,117.0,55.0,160.0,71.0,21.0,20.0,41.0,65.0,16.0,1036.0,0.0,4.0,0.0,0.29600000000000004,0.282,0.5770000000000001,144.0,14.6,102.0,39.0
Zachary Werenski,192.0,77.0,16.0,21.0,37.0,16.0,8.0,1354.0,3.0,3.0,10.0,0.20800000000000002,0.273,0.48100000000000004,207.0,7.7,58.0,92.0,145.0,82.0,11.0,33.0,44.0,18.0,-12.0,1373.0,2.0,1.0,15.0,0.134,0.402,0.537,168.0,6.6,67.0,89.0
